ID_Studente,Livello_Competenza,Competenza_Iniziale_Punti,Ore_Uso_AI,Ore_Studio_Autonomo,Frequenza_Lezioni_Perc,Ansia_Prestazione,Punteggio_Esame
STU_030,Bassa,40,11.3,12.7,52.0,67.8,57.4
STU_031,Media,65,6.1,16.2,67.1,63.8,54.7
STU_032,Bassa,40,12.4,13.9,57.8,66.0,60.2
STU_033,Bassa,40,11.8,12.9,57.7,66.7,58.4
STU_034,Alta,85,3.6,18.3,77.2,58.6,61.7
STU_035,Alta,85,3.4,17.9,76.5,64.0,61.5
STU_036,Alta,85,2.9,17.8,75.4,61.9,62.7
STU_037,Bassa,40,11.3,13.3,55.8,65.4,59.7
STU_038,Bassa,40,10.8,12.5,51.0,67.4,56.1
STU_039,Alta,85,2.6,18.3,75.3,62.9,57.8
STU_040,Media,65,7.7,15.5,66.6,58.5,62.5
STU_041,Bassa,40,12.2,13.0,56.8,66.4,58.4
STU_042,Media,65,6.0,16.1,62.2,61.5,60.3
STU_043,Bassa,40,12.1,13.3,52.8,63.0,62.1
STU_044,Alta,85,3.3,17.9,77.2,61.1,60.1
STU_045,Bassa,40,11.3,12.7,55.9,71.4,55.7
STU_046,Media,65,7.1,15.3,68.0,63.7,62.3
STU_047,Bassa,40,12.0,12.6,56.1,64.9,59.9
STU_048,Media,65,6.1,16.1,66.1,64.4,59.6
STU_049,Media,65,7.3,16.1,68.8,67.3,58.3
STU_050,Bassa,40,12.4,12.3,54.5,68.0,60.2
STU_051,Alta,85,3.9,18.5,74.3,61.0,62.2
STU_052,Alta,85,3.8,18.8,72.6,59.5,62.2
STU_053,Alta,85,1.9,18.5,72.7,64.1,56.6
STU_054,Alta,85,2.2,19.2,73.1,62.4,59.1
STU_055,Media,65,7.4,15.4,66.7,65.8,59.4
STU_056,Alta,85,3.4,17.5,72.6,62.6,60.8
STU_057,Bassa,40,12.4,11.9,59.8,67.7,61.2
STU_058,Bassa,40,15.1,13.2,53.3,62.2,68.5
STU_059,Bassa,40,12.5,13.1,55.4,67.8,62.2
STU_060,Bassa,40,12.9,12.7,54.7,66.6,60.6
STU_061,Media,65,7.8,15.9,70.3,68.2,59.6
STU_062,Bassa,40,12.5,12.2,56.6,63.3,63.2
STU_063,Alta,85,2.7,19.4,77.1,64.9,59.9
STU_064,Media,65,7.6,15.8,61.5,64.0,60.4
STU_065,Bassa,40,11.4,12.9,56.8,64.0,60.8
STU_066,Media,65,6.8,16.2,68.7,62.6,59.7
STU_067,Bassa,40,11.6,13.1,56.2,64.8,60.8
STU_068,Alta,85,3.1,18.3,77.2,62.2,60.3
STU_069,Bassa,40,13.9,12.2,54.4,64.1,67.7
STU_070,Alta,85,1.5,18.6,78.2,60.2,58.9
STU_071,Alta,85,3.5,19.1,80.9,61.2,61.0
STU_072,Bassa,40,10.7,13.6,54.9,70.5,58.2
STU_073,Bassa,40,11.6,13.6,54.7,69.3,60.0
STU_074,Alta,85,3.9,17.9,78.4,60.7,64.2
STU_075,Alta,85,3.1,17.7,78.7,62.3,58.7
STU_076,Alta,85,2.1,18.2,72.4,61.9,58.9
STU_077,Alta,85,2.4,18.3,72.7,62.4,60.2
STU_078,Bassa,40,12.5,13.3,55.2,64.9,58.7
STU_079,Media,65,6.4,15.0,62.0,64.3,56.8
STU_080,Bassa,40,12.2,13.5,53.2,64.1,57.4
STU_081,Alta,85,3.0,18.1,71.0,62.5,59.7
STU_082,Media,65,6.5,15.6,63.7,64.6,59.8
STU_083,Media,65,8.7,15.1,65.9,60.1,66.5
STU_084,Bassa,40,12.5,11.9,56.7,68.7,61.4
STU_085,Bassa,40,10.4,13.4,60.7,63.5,58.4
STU_086,Bassa,40,12.1,12.8,53.0,64.0,58.3
STU_087,Alta,85,2.5,17.6,77.0,63.6,56.1
STU_088,Media,65,7.7,15.1,65.4,65.1,61.6
STU_089,Alta,85,2.4,18.1,73.9,65.1,59.0
STU_090,Media,65,6.9,16.6,68.0,62.7,59.7
STU_091,Bassa,40,12.4,12.6,52.6,69.4,57.9
STU_092,Alta,85,3.7,17.4,75.1,61.0,61.6
STU_093,Alta,85,2.0,18.2,74.5,62.9,55.6
STU_094,Media,65,6.7,15.7,67.5,65.0,60.3
STU_095,Alta,85,2.6,16.9,74.9,62.8,59.6
STU_096,Media,65,6.5,15.8,73.4,61.4,57.3
STU_097,Media,65,8.4,15.5,64.1,65.8,62.8
STU_098,Media,65,7.3,16.1,64.4,66.8,59.2
STU_099,Bassa,40,11.0,13.8,54.1,65.6,57.4
STU_100,Bassa,40,12.7,13.3,54.3,65.5,63.3
STU_101,Bassa,40,13.7,12.5,54.1,66.5,62.8
STU_102,Media,65,7.8,15.2,69.6,63.0,62.8
STU_103,Bassa,40,10.8,14.2,60.3,66.2,56.2
STU_104,Media,65,6.6,15.9,64.3,63.0,57.8
STU_105,Alta,85,4.0,18.1,71.5,60.8,62.4
STU_106,Bassa,40,11.4,12.8,57.4,69.5,57.0
STU_107,Media,65,7.4,15.9,64.3,64.7,60.1
STU_108,Alta,85,3.6,18.1,75.9,61.2,59.8
STU_109,Bassa,40,11.3,12.6,56.6,66.6,61.1
STU_110,Bassa,40,12.0,12.5,51.5,60.3,59.9
STU_111,Bassa,40,9.4,13.0,60.6,70.8,52.5
STU_112,Bassa,40,11.2,12.6,61.4,63.0,58.3
STU_113,Alta,85,2.8,17.9,72.2,61.0,59.3
STU_114,Alta,85,2.0,18.4,72.8,60.2,57.2
STU_115,Media,65,8.3,15.5,66.9,59.5,64.2
STU_116,Alta,85,1.9,19.1,75.0,64.1,58.3
STU_117,Alta,85,2.6,16.9,76.0,61.2,58.3
STU_118,Bassa,40,12.1,13.3,62.0,67.0,59.4
STU_119,Alta,85,4.2,18.7,73.5,60.7,62.5
STU_120,Media,65,5.9,14.9,63.6,67.0,53.7
STU_121,Alta,85,3.9,17.9,69.9,62.1,60.1
STU_122,Alta,85,3.0,18.0,71.8,57.9,62.1
STU_123,Bassa,40,11.2,12.2,55.9,67.3,60.5
STU_124,Bassa,40,12.4,12.4,61.4,64.9,60.6
STU_125,Bassa,40,12.2,12.2,54.4,62.3,61.3
STU_126,Media,65,6.5,16.7,66.7,62.8,59.3
STU_127,Alta,85,3.1,18.7,74.0,62.2,64.8
STU_128,Alta,85,2.7,18.9,77.6,62.6,60.9
STU_129,Bassa,40,12.1,13.2,63.6,65.3,60.0
STU_130,Media,65,7.5,15.2,64.4,63.1,59.9
STU_131,Media,65,8.3,15.4,64.5,63.1,60.8
STU_132,Bassa,40,11.0,13.1,59.1,70.7,57.8
STU_133,Bassa,40,13.7,12.0,58.0,66.1,63.1
STU_134,Media,65,5.4,16.3,71.5,66.6,54.0
STU_135,Alta,85,2.9,18.1,75.8,64.1,58.7
STU_136,Bassa,40,12.5,12.6,54.9,66.9,59.6
STU_137,Media,65,7.2,16.1,67.8,61.5,63.1
STU_138,Alta,85,2.5,18.5,77.3,60.8,60.1
STU_139,Media,65,6.8,15.6,68.5,63.5,59.6
STU_140,Alta,85,2.6,18.8,75.5,60.6,61.2
STU_141,Alta,85,2.5,17.7,77.2,63.3,58.9
STU_142,Bassa,40,12.7,13.0,59.5,66.2,60.4
STU_143,Media,65,7.3,16.1,70.1,63.6,63.0
STU_144,Bassa,40,11.4,12.7,57.9,65.9,59.4
STU_145,Bassa,40,12.7,12.9,55.5,66.4,60.2
STU_146,Bassa,40,12.2,12.1,56.4,62.0,60.3
STU_147,Media,65,7.7,16.2,69.6,65.5,60.3
STU_148,Media,65,7.5,15.7,63.5,64.9,59.2
STU_149,Bassa,40,11.3,12.6,57.1,67.8,59.7
STU_150,Bassa,40,11.6,13.4,54.8,59.1,61.7
STU_151,Alta,85,3.6,17.8,74.1,66.3,59.4
STU_152,Bassa,40,12.5,12.0,59.8,64.9,62.1
STU_153,Bassa,40,12.0,12.0,56.6,68.7,59.0
STU_154,Media,65,7.1,16.1,66.1,61.7,59.5
STU_155,Alta,85,4.0,17.5,69.9,62.4,61.7
STU_156,Bassa,40,11.5,13.7,58.2,64.9,57.5
STU_157,Alta,85,3.4,17.1,75.9,59.9,61.2
STU_158,Alta,85,2.8,19.1,80.5,66.1,58.3
STU_159,Bassa,40,11.8,12.9,55.1,65.5,60.0
STU_160,Alta,85,3.9,18.1,74.7,61.3,62.1
STU_161,Media,65,7.7,15.5,66.7,64.9,61.3
STU_162,Media,65,7.7,15.9,70.7,64.7,60.3
STU_163,Media,65,8.0,15.7,65.7,63.5,61.7
STU_164,Media,65,7.0,16.3,66.8,63.7,61.2
STU_165,Bassa,40,12.5,12.8,57.8,70.0,62.1
STU_166,Alta,85,2.8,18.3,74.6,62.3,57.9
STU_167,Bassa,40,12.3,12.6,54.7,66.1,60.8
STU_168,Bassa,40,11.9,12.8,56.6,67.6,60.9
STU_169,Bassa,40,12.1,12.9,59.2,69.4,57.7
STU_170,Media,65,7.5,14.9,62.9,65.1,62.0
STU_171,Alta,85,2.3,17.6,74.4,63.8,57.4
STU_172,Bassa,40,13.7,13.0,53.9,62.0,65.0
STU_173,Media,65,6.2,16.0,69.6,67.9,56.8
STU_174,Bassa,40,11.0,12.8,51.4,65.8,54.9
STU_175,Media,65,7.9,15.7,64.3,64.6,59.9
STU_176,Bassa,40,12.6,12.9,57.1,64.0,61.7
STU_177,Alta,85,3.5,17.9,78.7,60.8,61.6
STU_178,Media,65,7.5,15.4,65.8,64.5,59.9
STU_179,Alta,85,3.0,18.3,72.3,61.7,60.9
STU_180,Bassa,40,11.3,12.4,61.6,68.6,55.7
STU_181,Media,65,7.1,16.0,61.7,66.7,60.1
STU_182,Bassa,40,11.5,12.0,49.4,68.2,56.8
STU_183,Alta,85,3.8,18.6,75.3,60.9,61.0
STU_184,Alta,85,2.9,18.4,72.5,63.5,59.8
STU_185,Bassa,40,11.3,13.0,52.9,69.5,57.1
STU_186,Media,65,6.7,16.3,68.1,61.5,58.8
STU_187,Alta,85,3.3,19.0,74.7,61.7,62.3
STU_188,Media,65,6.5,16.4,64.3,65.7,58.0
STU_189,Media,65,6.3,14.9,62.2,62.8,59.6
STU_190,Bassa,40,12.2,12.1,58.6,69.5,58.8
STU_191,Bassa,40,12.2,12.5,58.0,65.2,61.3
STU_192,Alta,85,2.6,18.3,73.7,61.0,61.1
STU_193,Alta,85,2.6,18.5,79.5,63.3,55.4
STU_194,Media,65,7.2,15.4,62.8,64.0,59.3
STU_195,Media,65,5.8,16.0,61.4,61.7,58.0
STU_196,Media,65,5.9,15.5,63.9,61.6,56.9
STU_197,Alta,85,2.4,18.0,73.9,64.8,59.1
STU_198,Alta,85,2.8,17.5,74.7,60.4,58.7
STU_199,Alta,85,3.2,17.7,73.3,59.3,60.8
STU_200,Alta,85,4.2,17.4,75.1,56.4,62.7
